Size;Selection - Random 0-5;Selection - Random 0-4100;Selection - Almost sorted;Selection - Reverse sorted;Bubble - Random 0-5;Bubble - Random 0-4100;Bubble - Almost sorted;Bubble - Reverse sorted;Bubble 1 Iverson's condition - Random 0-5;Bubble 1 Iverson's condition - Random 0-4100;Bubble 1 Iverson's condition - Almost sorted;Bubble 1 Iverson's condition - Reverse sorted;Bubble 1 + 2 Iverson's conditions - Random 0-5;Bubble 1 + 2 Iverson's conditions - Random 0-4100;Bubble 1 + 2 Iverson's conditions - Almost sorted;Bubble 1 + 2 Iverson's conditions - Reverse sorted;Insertion - Random 0-5;Insertion - Random 0-4100;Insertion - Almost sorted;Insertion - Reverse sorted;Binary insertion - Random 0-5;Binary insertion - Random 0-4100;Binary insertion - Almost sorted;Binary insertion - Reverse sorted;Count - Random 0-5;Count - Random 0-4100;Count - Almost sorted;Count - Reverse sorted;Radix - Random 0-5;Radix - Random 0-4100;Radix - Almost sorted;Radix - Reverse sorted;Merge - Random 0-5;Merge - Random 0-4100;Merge - Almost sorted;Merge - Reverse sorted;Quick - Random 0-5;Quick - Random 0-4100;Quick - Almost sorted;Quick - Reverse sorted;Heap - Random 0-5;Heap - Random 0-4100;Heap - Almost sorted;Heap - Reverse sorted;Shell (Ciura sequence) - Random 0-5;Shell (Ciura sequence) - Random 0-4100;Shell (Ciura sequence) - Almost sorted;Shell (Ciura sequence) - Reverse sorted;Shell (Shell sequence) - Random 0-5;Shell (Shell sequence) - Random 0-4100;Shell (Shell sequence) - Almost sorted;Shell (Shell sequence) - Reverse sorted
100;57233;57583;57421;61933;98386;106198;87850;135142;97826;107893;50475;139906;84311;92965;43837;129993;31783;42199;17735;80791;21417;24605;17223;35900;88826;88826;88826;88826;4239;11334;11334;11334;16197;16393;16240;14754;8152;9744;36480;52012;23854;27418;25349;29592;10401;16659;14097;12739;11476;18602;16852;14213
200;224479;225529;225263;243883;402028;426304;357328;540292;402164;434772;317857;559806;347710;379338;269056;519993;137239;169607;77639;321591;69146;79166;50852;125086;91526;91526;91526;91526;8139;21734;21734;21734;36904;37626;36982;33034;23980;21972;36020;204012;55606;63871;59330;68706;24486;40103;35609;28035;28907;45119;45140;34101
300;501703;503365;502845;545833;898582;945826;808690;1215442;896653;957151;701183;1259706;776309;840153;583701;1169993;299911;362903;180055;722391;136030;155635;98905;265424;94226;94226;94226;94226;12039;32134;32134;32134;59159;60475;59494;52618;46064;32964;111200;456012;90237;102886;96772;111155;37175;64944;59505;45379;43900;70353;65908;57585
400;888939;891337;890823;967783;1600960;1680364;1431712;2160592;1596203;1709979;1291501;2239606;1392928;1496593;1039481;2079993;537015;642887;311351;1283191;227076;259991;156831;456674;96926;96926;96926;96926;15939;42534;42534;42534;82678;84330;83107;73094;73280;47736;97844;808012;124044;144505;135619;155603;52140;92768;85334;62311;62827;119289;104288;79669
500;1386199;1389357;1388571;1509733;2486998;2630854;2230642;3375742;2476803;2690015;2046377;3499506;2155917;2369840;1636616;3249993;818999;1010807;477191;2003991;332511;392246;226016;697924;99626;99626;99626;99626;19839;52934;52934;52934;106664;108778;107602;92822;109364;59384;123628;1260012;160405;188211;177821;200963;67673;123617;112144;86685;76543;134055;121833;108029
600;1993401;1997531;1996219;2171683;3573928;3787288;3202804;4860892;3583950;3873225;3200544;5039406;3125514;3418520;2669943;4679993;1168839;1453319;674007;2884791;459701;548323;305262;990566;102326;102326;102326;102326;23739;63334;63334;63334;131824;134829;132730;115762;153028;75952;129736;1812012;200865;233618;220282;249348;82877;153787;141768;107377;100172;181771;161212;132393
700;2710721;2715739;2714231;2953633;4857790;5121478;4339330;6616042;4874399;5237666;4269284;6859306;4251325;4601010;3331370;6369993;1581255;1932839;889975;3925591;607071;716285;390976;1333416;105026;105026;105026;105026;27639;73734;73734;73734;157404;161223;158486;138230;202336;86760;354688;2464012;240438;278529;263422;299297;97850;182368;174164;126655;115702;212064;183112;161118
800;3537871;3543919;3542677;3855583;6339760;6716068;5669032;8641192;6362677;6872687;5597845;8959206;5543589;6040669;4493693;8319993;2057815;2559559;1163511;5126391;774508;930775;494920;1726266;107726;107726;107726;107726;31539;84134;84134;84134;183089;187123;184776;160214;254380;105876;228088;3216012;276620;326240;309200;348646;116219;218279;198749;144751;149539;294145;257633;182397
900;4475125;4482025;4481163;4877533;8059642;8509738;7201342;10936342;8085251;8697452;7269028;11339106;7053901;7650711;6063634;10529993;2651591;3251719;1507191;6487191;978972;1166067;621040;2169116;110426;110426;110426;110426;35439;94534;94534;94534;209657;214067;211066;181978;316996;136032;142212;4068012;318163;373298;355054;398222;130522;247247;228228;166292;168260;333257;301344;218940
1000;5522287;5530497;5528549;6019483;9922684;10518868;8879524;13501492;9924243;10758450;8945815;13999006;8616812;9481255;7085740;12999993;3236247;4031159;1845367;8007991;1180702;1428682;745597;2661966;113126;113126;113126;113126;39339;104934;104934;104934;235377;240812;238209;203170;389592;148244;159448;5020012;355126;420207;403601;448282;148584;278427;265022;184648;172583;312611;298527;244837
1100;6679549;6689391;6686721;7281433;12091102;12735970;10723102;16336642;12141850;13012629;10709801;16938906;10615902;11478776;8589748;15729993;4028071;4887895;2204071;9688791;1447429;1715692;876860;3206016;115826;115826;115826;115826;43239;115334;115334;115334;262657;269020;265335;227650;462352;155036;228288;6072012;401061;470323;448301;500830;166058;317307;295558;207442;210399;389221;352961;268926
1200;7946857;7957247;7955463;8663383;14446180;15098284;12785896;19441792;14486400;15437904;12889688;20158806;12675246;13640115;10713062;18719993;4868775;5738247;2655063;11529591;1729784;2000979;1037491;3800466;118526;118526;118526;118526;47139;125734;125734;125734;290369;297428;293106;252550;549624;162232;198688;7224012;445394;519113;497288;554197;183504;348340;325331;226750;235708;421194;396764;299401
1300;9324019;9335139;9333387;10165333;16921030;17798158;14952382;22816942;16982270;18218267;15066197;23658706;14834158;16102713;12110180;21969993;5669175;6838679;3044311;13530391;1999950;2364720;1178763;4444916;121226;121226;121226;121226;51039;136134;136134;136134;318580;325725;320498;276790;639048;173964;224816;8476012;490384;569922;545383;609447;200411;388165;354117;274387;249019;485500;465802;339648
1400;10811347;10823565;10821439;11787283;19619200;20707480;17279596;26462092;19680826;21177113;17195783;27438606;17214574;18702044;14097944;25479993;6567335;8018375;3447863;15691191;2300702;2753279;1325081;5139366;123926;123926;123926;123926;54939;146534;146534;146534;346074;354483;349393;300986;737888;193624;272116;9828012;533129;622784;593411;663077;217850;416685;388153;280206;263970;511847;428561;362586
1500;12408583;12421709;12419659;13529233;22470790;23734090;19827742;30377242;22535168;24297306;19952006;31498506;19691574;21480306;16616739;29249993;7470055;9154455;3945991;18011991;2603158;3128400;1500887;5883816;126626;126626;126626;126626;58839;156934;156934;156934;374061;382837;377806;324566;839232;200368;280608;11280012;578925;674263;641943;717617;234176;460612;418164;311036;278101;530892;488983;390983
1600;14115777;14129677;14126957;15391183;25485208;26920480;22486444;34562392;25545864;27484118;22375204;35838406;22296159;24164350;18288319;33279993;8389879;10303575;4391527;20492791;2910873;3507756;1660325;6678266;129326;129326;129326;129326;62739;167334;167334;167334;401131;411342;406029;348454;953120;240896;458752;12832012;619865;725716;691110;769425;250845;495110;450604;314279;348087;700775;597896;411045
1700;15932971;15948261;15944955;17373133;28773502;30332074;25347178;39017542;28844325;31048907;25633983;40458306;25188308;27427764;21353796;37569993;9474871;11552967;4906439;23133591;3270384;3918623;1841523;7522716;132026;132026;132026;132026;66639;177734;177734;177734;429625;441244;434213;372474;1054204;232364;316796;14484012;657996;776457;742103;826274;270055;532240;488175;360068;325014;637732;576937;440157
1800;17860213;17875843;17873409;19475083;32288116;34031236;28411780;43742692;32359542;34757328;28599835;45358206;28265170;30674479;24026717;42119993;10661623;12985783;5493175;25934391;3661701;4386906;2045294;8417166;134726;134726;134726;134726;70539;188134;188134;188134;458681;469435;463790;395482;1186216;264020;808288;16236012;703108;827884;792220;880461;285801;564107;518621;381050;376740;783447;774466;489888
1900;19897465;19914119;19910793;21697033;35975542;37927990;31636834;48737842;36026590;38818053;31949406;50538106;31441710;34200757;26676267;46929993;11878791;14482055;6093847;28895191;4062725;4875163;2253660;9361616;137426;137426;137426;137426;74439;198534;198534;198534;486478;498784;493867;418886;1307064;316232;486200;18088012;750909;880182;843522;935405;305076;605075;554787;380228;355992;767060;635712;504448
2000;22044699;22062753;22059193;24038983;39887224;41972188;35037484;54002992;39945745;42936392;35397384;55998006;34853340;37837923;29387651;51999993;13194967;15974919;6728647;32015991;4494705;5362419;2472771;10356066;140126;140126;140126;140126;78339;208934;208934;208934;515559;527934;521933;441366;1442344;294976;451532;20040012;789066;933987;893977;984472;322216;641843;588888;424010;394817;781308;688341;547445
2100;24301941;24320743;24317049;26500933;44035618;46317190;38573830;59538142;44149530;47408741;38893169;61737906;38607703;41899161;32421185;57329993;14626759;17668855;7344375;35296791;4963004;5912622;2685986;11401332;142826;142826;142826;142826;82239;219334;219334;219334;544226;557986;551350;466450;1586652;325868;376352;22092012;833889;986230;944747;1046525;341267;684022;626286;442235;440859;900283;826146;565431
2200;26669185;26688999;26685097;29082883;48308668;50704312;42309052;65343292;48424519;51874230;42734398;67757806;42296260;45661175;35713510;62919993;16024759;19218951;8025271;38737591;5420984;6417939;2919806;12497382;145526;145526;145526;145526;86139;229734;229734;229734;573842;588456;580467;493826;1740224;332448;512440;24244012;882014;1042227;996395;1105289;354760;721518;653772;474117;459156;919987;800210;601438
2300;29146379;29167555;29163355;31784833;52905346;55473838;46202386;71418442;53011588;56738326;46451114;74057706;46368687;50037930;38765430;68769993;17654263;21078919;8716983;42338391;5951465;7020235;3156974;13643432;148226;148226;148226;148226;90039;240134;240134;240134;602994;619453;609412;520234;1889884;362120;384656;26496012;928452;1097325;1048860;1164387;373839;771901;681055;485069;465381;890491;811811;670831
2400;31733567;31757141;31752183;34606783;57445840;60346984;50317852;77763592;57586782;61769472;50635774;80637606;50343054;54533962;42192227;74879993;19008855;22877047;9504871;46099191;6396077;7603414;3424546;14839482;150926;150926;150926;150926;93939;250534;250534;250534;633302;649781;639917;547126;2058764;350064;447116;28848012;976350;1151078;1101758;1223539;393065;807066;719454;515166;531184;1044893;916646;668209
2500;34430791;34454855;34450085;37548733;62364358;65560126;54596506;84378742;62505695;67030538;55215873;87497506;54606036;59103091;46360616;81249993;20667479;24928503;10310343;50019991;6935779;8265934;3697488;16085532;153626;153626;153626;153626;97839;260934;260934;260934;663591;680012;669728;573094;2230456;376416;506968;31300012;1020637;1205461;1155175;1282787;410338;837366;753576;529618;537596;1052593;960438;725679
2600;37238129;37263011;37257057;40610683;67346236;70973248;59132368;91263892;67463607;72652124;59793201;94637406;58887768;64178550;50231208;87879993;22210583;27046599;11258759;54100791;7439652;8949295;4015612;17381582;156326;156326;156326;156326;101739;271334;271334;271334;693437;711061;699509;599106;2406060;423608;455800;33852012;1065159;1260137;1206717;1342276;425224;887602;800445;551602;544244;1167615;1068257;754496
2700;40155435;40181807;40174737;43792633;72566026;76447162;63590266;98419042;72724562;78189057;64113528;102057306;63467866;68850789;53323470;94769993;23870903;29045751;11903223;58341591;7980178;9595502;4238527;18727632;159026;159026;159026;159026;105639;281734;281734;281734;723348;741937;730358;625426;2591564;402100;501060;36504012;1112225;1317115;1259626;1400878;446942;913681;835127;579130;555206;1150248;1068474;779479
2800;43182641;43209881;43203205;47094583;78174508;82328128;68191972;105844192;78386137;84268637;68731360;109757206;68486565;74323913;57632995;101919993;25849479;31387639;12539431;62742391;8620237;10348894;4459118;20123682;161726;161726;161726;161726;109539;292134;292134;292134;753208;772704;761112;650998;2765592;409608;516464;39256012;1165914;1372901;1316298;1460542;466763;944135;865427;610851;595239;1204232;1053340;806114
2900;46319829;46348419;46340295;50516533;84124246;88317250;73104262;113539342;84342764;90281767;73784666;117737106;73777311;79725948;61846594;109329993;28083063;33673735;13389751;67303191;9339975;11085011;4746379;21569732;164426;164426;164426;164426;113439;302534;302534;302534;783433;803461;791756;676746;2965488;457740;481416;42108012;1214954;1428343;1365680;1519251;484407;992117;905233;634480;595658;1228990;1155511;829948
3000;49567083;49597489;49588273;54058483;89959756;94488844;78068980;121504492;90192309;96695000;78508548;125997006;78885664;85359150;65631942;116999993;29964343;36003127;14109975;72023991;9949769;11834770;4992969;23065782;167126;167126;167126;167126;117339;312934;312934;312934;814133;834647;822195;701658;3172180;476344;508584;45060012;1260365;1483317;1424052;1579326;499797;1034905;932670;682147;621677;1328796;1116339;868679
3100;52924373;52954899;52946403;57720433;95945302;101048830;83333614;129739642;96195731;103452664;84216467;134536906;84098088;91421926;70206601;124929993;31845671;38650375;15030087;76904791;10559474;12683891;5302293;24611832;169826;169826;169826;169826;121239;323334;323334;323334;843661;865827;852546;726658;3379816;464264;511756;48112012;1304524;1540024;1478654;1638752;521060;1088508;976767;734749;633532;1833934;1522441;877020
3200;56391569;56422365;56412999;61502383;102148336;107723824;88632508;138244792;102397011;110256337;89368873;143356806;89424453;97443369;74548781;133119993;33816983;41250967;15795879;81945591;11197459;13518464;5563411;26207882;172526;172526;172526;172526;125139;333734;333734;333734;872895;896342;883373;752934;3590668;503016;570908;51264012;1353681;1594805;1535242;1697924;538270;1121433;1020640;747808;779094;1729764;1468748;914733
3300;59968913;60001603;59991485;65404333;108747850;114479710;94035802;147019942;109026377;117169734;94986120;152456706;95329224;103525634;79463419;141569993;36116935;43759415;16500871;87146391;11938159;14324418;5805577;27853932;175226;175226;175226;175226;129039;344134;344134;344134;903946;928443;913825;778858;3800744;516168;559964;54516012;1397595;1652284;1589438;1756538;559141;1158894;1047300;779893;681929;1411959;1277349;1011692
3400;63656081;63690693;63679541;69426283;115574752;121594552;99890308;156065092;115814403;124455323;100901999;161836606;101246428;109940261;84658128;150279993;38520071;46546471;17607479;92507191;12711209;15217469;6173456;29549982;177926;177926;177926;177926;132939;354534;354534;354534;934885;959827;944326;804474;4047832;551316;590112;57868012;1447976;1708049;1641576;1816737;580054;1195424;1083333;784104;713896;1530278;1342839;978685
3500;67453365;67489579;67475673;73568233;122279626;128660230;105662698;165380242;122540645;131704273;106680834;171496506;107062577;116373196;89178131;159249993;40560503;49067975;18404599;98027991;13370950;16027535;6444812;31296032;180626;180626;180626;180626;136839;364934;364934;364934;965959;990836;973626;829562;4275024;551412;789416;61320012;1494474;1765113;1698793;1875917;599329;1237407;1118946;835656;700534;1553645;1393303;1003697
3600;71360673;71397531;71381335;77830183;129345976;136182508;111639664;174965392;129693794;139413266;112445818;181436406;113317346;123078871;93995563;168479993;42882903;51998279;19274487;103708791;14118959;16965479;6738700;33092082;183326;183326;183326;183326;140739;375334;375334;375334;996152;1022002;1005630;853990;4551088;578636;634272;64872012;1543472;1819941;1752972;1935694;615125;1303456;1158633;834078;787330;1881913;1760337;1083976
3700;75377865;75416403;75399049;82212133;136576894;143965162;117782098;184820542;136926735;147388933;118495189;191656306;119530925;130146869;98370073;177969993;45224727;55075751;20164999;109549591;14872942;17949477;7039305;34938132;186026;186026;186026;186026;144639;385734;385734;385734;1026827;1053973;1034639;879518;4780380;585220;647464;68524012;1586932;1878577;1810831;1994688;630963;1347077;1195114;878238;755209;1663858;1477280;1091762
3800;79505181;79543445;79525207;86714083;144000400;151944664;124094320;194945692;144298075;155570212;125128758;202156206;126003584;137432066;104799842;187719993;47623335;58215687;21081895;115550391;15644786;18952931;7348107;36834182;188726;188726;188726;188726;148539;396134;396134;396134;1056410;1084744;1065781;904298;5025944;588296;651456;72276012;1637422;1936862;1864191;2054201;650644;1372540;1240723;899326;798818;1683317;1426494;1118816
3900;83742343;83781625;83760671;91336033;151592674;159964270;130540654;205340842;151785172;163680056;131661277;212936106;132359702;144388990;110194417;197729993;50046967;61209095;21977607;121711191;16424508;19910659;7650353;38780232;191426;191426;191426;191426;152439;406534;406534;406534;1087691;1115829;1094540;928726;5314096;623536;672664;76128012;1678863;1993243;1920908;2113268;671445;1423854;1271303;934281;804054;1694748;1460626;1186366
4000;88089561;88130413;88102051;96077983;159565744;168237004;137228512;216005992;160003096;172244722;138068394;223996006;139839878;152157582;115113827;207999993;52778327;64340007;22995351;128031991;17300419;20911389;7990798;40776282;194126;194126;194126;194126;156339;416934;416934;416934;1119065;1147894;1125905;952758;5557852;638856;696776;80080012;1722984;2052689;1976178;2173671;689320;1475525;1297865;943847;896591;1890556;1693051;1210653
4100;92546887;92587735;92538711;100939933;167860606;176491042;144130126;226941142;168323343;180583534;145431092;235335906;147160693;159183618;121365762;218529993;55738743;67245991;24098103;134512791;18247907;21841877;8357808;42822380;196826;196826;196826;196826;160239;427334;427334;427334;1150315;1179979;1156711;976134;5861396;639864;767280;84132012;1772765;2110606;2030443;2232994;710408;1511397;1330363;950403;1095609;3603324;3330695;1222001
